EmployeeId,PositionId,ShiftType,Date,DayOfWeek,Month,IsWeekend,TotalMinutes,Label
1a75df7a-e558-47c6-8af0-033582318b99,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,2024-12-18,4,12,0,360,1
6663d684-ce88-47ff-a4f7-e40d3b82a13f,3669E755-6F3C-4486-9604-08DD17656FFB,2,2024-12-18,4,12,0,360,1
1641a578-00b2-4973-955d-095bc254d709,C276218D-F973-4E04-5E30-08DC894CFFB3,2,2024-12-18,4,12,0,360,1
4d71f5cd-5e03-4e0e-b17d-593586b88b99,C276218D-F973-4E04-5E30-08DC894CFFB3,18,2024-12-18,4,12,0,480,1
477951d3-95b8-4933-ad3b-ae6f86eafc55,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,2024-12-18,4,12,0,480,1
477951d3-95b8-4933-ad3b-ae6f86eafc55,3C73974A-4F0C-4E6A-9606-08DD17656FFB,3,2024-12-18,4,12,0,240,1
7afecb62-aa18-4106-a82b-a906fa7e488d,3E1F785D-7233-4302-9607-08DD17656FFB,5,2024-12-18,4,12,0,360,1
38b41087-0565-4dea-8ddf-e3b522a14368,58EB8749-B6DE-44ED-9608-08DD17656FFB,5,2024-12-18,4,12,0,360,1
8982ec1f-1303-4c68-a89f-db4b125e1e3b,C276218D-F973-4E04-5E30-08DC894CFFB3,16,2024-12-18,4,12,0,300,1
c280d18d-86b9-4bba-85e6-2c00472efd9d,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,15,2024-12-18,4,12,0,360,1
b5ca6829-6ac9-4e18-96d7-3282ff6f3250,F26102A7-0CF1-4812-9605-08DD17656FFB,2,2024-12-18,4,12,0,360,1
4d71f5cd-5e03-4e0e-b17d-593586b88b99,81BA61FE-FBE1-4943-9609-08DD17656FFB,3,2024-12-18,4,12,0,240,1
8d97501c-e7a6-46e6-9882-10ee0dea5a69,7828EA1E-332F-44EE-960A-08DD17656FFB,5,2024-12-18,4,12,0,360,1
c720feeb-93e1-4d88-b275-525f95f377ee,EC754F9E-6217-4A0A-960B-08DD17656FFB,5,2024-12-18,4,12,0,360,1
57f57d9a-735a-4bcc-afb6-f2799bd738a4,52B10290-AC6C-4A72-960C-08DD17656FFB,5,2024-12-18,4,12,0,360,1
f538e494-84f3-4ea8-ae3b-f0f142294fbe,FF0F4B32-DB6C-4965-960D-08DD17656FFB,5,2024-12-18,4,12,0,360,1
9964c775-c7f7-42d2-9d2c-a75cb68487d1,2D7B6426-B613-481B-960E-08DD17656FFB,7,2024-12-18,4,12,0,300,1
2320cb1b-d64f-4486-aabe-9754c12a1d06,880B21E2-4D0E-4BC6-960F-08DD17656FFB,6,2024-12-18,4,12,0,240,1
925fe8e4-a2de-433d-8c9d-b07fd34a8c36,CB9E8FC8-956C-4FA4-9610-08DD17656FFB,6,2024-12-18,4,12,0,240,1
925fe8e4-a2de-433d-8c9d-b07fd34a8c36,CB9E8FC8-956C-4FA4-9610-08DD17656FFB,12,2024-12-18,4,12,0,240,1
413e6437-7712-4672-8d5f-80a6c94ef119,C276218D-F973-4E04-5E30-08DC894CFFB3,9,2024-12-18,4,12,0,300,1
43072b87-23d4-4ad6-88f8-7999ef3c86ca,3669E755-6F3C-4486-9604-08DD17656FFB,14,2024-12-18,4,12,0,360,1
2c075776-4fd8-49f3-b781-7842bd8156de,F26102A7-0CF1-4812-9605-08DD17656FFB,14,2024-12-18,4,12,0,360,1
f03ea971-0ec2-4be7-aae9-364f3922b741,3C73974A-4F0C-4E6A-9606-08DD17656FFB,10,2024-12-18,4,12,0,360,1
fafe9819-8c58-4398-a1cc-77584270b6ed,3E1F785D-7233-4302-9607-08DD17656FFB,14,2024-12-18,4,12,0,360,1
ff7cc517-15bb-4dc9-a941-2902d92fc311,58EB8749-B6DE-44ED-9608-08DD17656FFB,14,2024-12-18,4,12,0,360,1
1ddcffe7-c2ad-4836-a35b-75b12da1d336,81BA61FE-FBE1-4943-9609-08DD17656FFB,16,2024-12-18,4,12,0,300,1
0fac737b-0e61-46db-a27a-52730d65cb9a,7828EA1E-332F-44EE-960A-08DD17656FFB,14,2024-12-18,4,12,0,360,1
23585a8f-5bb9-44d7-a5f9-d7498c60ab2c,EC754F9E-6217-4A0A-960B-08DD17656FFB,14,2024-12-18,4,12,0,360,1
1b96029f-d249-4657-97e1-ce4086f265fc,52B10290-AC6C-4A72-960C-08DD17656FFB,14,2024-12-18,4,12,0,360,1
78732633-0af4-4912-9602-d3923d7c10d0,3C73974A-4F0C-4E6A-9606-08DD17656FFB,17,2024-12-18,4,12,0,240,1
2320cb1b-d64f-4486-aabe-9754c12a1d06,880B21E2-4D0E-4BC6-960F-08DD17656FFB,12,2024-12-18,4,12,0,240,1
2c075776-4fd8-49f3-b781-7842bd8156de,C276218D-F973-4E04-5E30-08DC894CFFB3,2,2025-03-24,2,3,0,360,1
c280d18d-86b9-4bba-85e6-2c00472efd9d,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,2025-03-24,2,3,0,360,1
1ddcffe7-c2ad-4836-a35b-75b12da1d336,C276218D-F973-4E04-5E30-08DC894CFFB3,18,2025-03-24,2,3,0,480,1
1b96029f-d249-4657-97e1-ce4086f265fc,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,2025-03-24,2,3,0,480,1
6663d684-ce88-47ff-a4f7-e40d3b82a13f,C276218D-F973-4E04-5E30-08DC894CFFB3,2,2025-03-25,3,3,0,360,1
4d71f5cd-5e03-4e0e-b17d-593586b88b99,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,2025-03-26,4,3,0,360,1
2c075776-4fd8-49f3-b781-7842bd8156de,3669E755-6F3C-4486-9604-08DD17656FFB,2,2025-03-26,4,3,0,360,1
ab577efb-8d05-4666-a51a-6b95edc5ec45,C276218D-F973-4E04-5E30-08DC894CFFB3,18,2025-03-26,4,3,0,480,1
57f57d9a-735a-4bcc-afb6-f2799bd738a4,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,2025-03-26,4,3,0,480,1
b5ca6829-6ac9-4e18-96d7-3282ff6f3250,C276218D-F973-4E04-5E30-08DC894CFFB3,2,2025-03-27,5,3,0,360,1
4d71f5cd-5e03-4e0e-b17d-593586b88b99,3C73974A-4F0C-4E6A-9606-08DD17656FFB,5,2025-03-27,5,3,0,360,1
1ddcffe7-c2ad-4836-a35b-75b12da1d336,2D7B6426-B613-481B-960E-08DD17656FFB,6,2025-03-27,5,3,0,240,1
c720feeb-93e1-4d88-b275-525f95f377ee,3E1F785D-7233-4302-9607-08DD17656FFB,5,2025-03-27,5,3,0,360,1
1916bf76-0235-4795-91ba-407148f8a703,C276218D-F973-4E04-5E30-08DC894CFFB3,18,2025-03-27,5,3,0,480,1
d71b50b4-750e-4644-9786-becc6520c6d7,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,2025-03-27,5,3,0,480,1
b5ca6829-6ac9-4e18-96d7-3282ff6f3250,EC754F9E-6217-4A0A-960B-08DD17656FFB,4,2025-03-28,6,3,0,300,1
4d71f5cd-5e03-4e0e-b17d-593586b88b99,3C73974A-4F0C-4E6A-9606-08DD17656FFB,5,2025-03-28,6,3,0,360,1
c71ec1ec-5e2b-4c33-8c89-de5897a207a6,C276218D-F973-4E04-5E30-08DC894CFFB3,2,2025-03-28,6,3,0,360,1
925fe8e4-a2de-433d-8c9d-b07fd34a8c36,C276218D-F973-4E04-5E30-08DC894CFFB3,18,2025-03-28,6,3,0,480,1
0fac737b-0e61-46db-a27a-52730d65cb9a,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,2025-03-28,6,3,0,480,1
b5ca6829-6ac9-4e18-96d7-3282ff6f3250,C276218D-F973-4E04-5E30-08DC894CFFB3,9,2025-03-29,7,3,1,300,1
c280d18d-86b9-4bba-85e6-2c00472efd9d,3C73974A-4F0C-4E6A-9606-08DD17656FFB,14,2025-03-29,7,3,1,360,1
1ddcffe7-c2ad-4836-a35b-75b12da1d336,C276218D-F973-4E04-5E30-08DC894CFFB3,2,2025-03-29,7,3,1,360,1
10005f55-8589-4836-800d-4b8bba0bf675,52B10290-AC6C-4A72-960C-08DD17656FFB,3,2025-03-29,7,3,1,240,1
4d71f5cd-5e03-4e0e-b17d-593586b88b99,C276218D-F973-4E04-5E30-08DC894CFFB3,16,2025-03-29,7,3,1,300,1
fa431862-6ab2-46f0-91f3-97ae1452fc85,3C73974A-4F0C-4E6A-9606-08DD17656FFB,4,2025-03-29,7,3,1,300,1
7afecb62-aa18-4106-a82b-a906fa7e488d,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,2025-03-29,7,3,1,360,1
9964c775-c7f7-42d2-9d2c-a75cb68487d1,3E1F785D-7233-4302-9607-08DD17656FFB,4,2025-03-29,7,3,1,300,1
1916bf76-0235-4795-91ba-407148f8a703,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,9,2025-03-29,7,3,1,300,1
78732633-0af4-4912-9602-d3923d7c10d0,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,16,2025-03-29,7,3,1,300,1
43072b87-23d4-4ad6-88f8-7999ef3c86ca,3669E755-6F3C-4486-9604-08DD17656FFB,2,2025-03-29,7,3,1,360,1
fafe9819-8c58-4398-a1cc-77584270b6ed,58EB8749-B6DE-44ED-9608-08DD17656FFB,5,2025-03-29,7,3,1,360,1
