EmployeeId,PositionId,ShiftType,Date,DayOfWeek,Month,IsWeekend,ContractHours,NightShift,Label
1a75df7a-e558-47c6-8af0-033582318b99,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,12/18/2024 00:00:00,4,12,False,36,True,1
d1123909-9ea0-46ac-b6bc-cd79543a0267,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,12/18/2024 00:00:00,4,12,False,24,True,0
e224e0ba-d92c-4e70-b675-2ff7e293c27c,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,12/18/2024 00:00:00,4,12,False,40,True,0
925fe8e4-a2de-433d-8c9d-b07fd34a8c36,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,12/18/2024 00:00:00,4,12,False,30,True,0
6663d684-ce88-47ff-a4f7-e40d3b82a13f,3669E755-6F3C-4486-9604-08DD17656FFB,2,12/18/2024 00:00:00,4,12,False,36,True,1
299503c0-1a91-43dd-8b64-b2b35f44afd6,3669E755-6F3C-4486-9604-08DD17656FFB,2,12/18/2024 00:00:00,4,12,False,36,True,0
f17d430a-5b83-47c8-ac20-77c5fe7864f7,3669E755-6F3C-4486-9604-08DD17656FFB,2,12/18/2024 00:00:00,4,12,False,24,True,0
157e4c9d-980e-4897-ad5f-f4c5c301f195,3669E755-6F3C-4486-9604-08DD17656FFB,2,12/18/2024 00:00:00,4,12,False,36,True,0
1641a578-00b2-4973-955d-095bc254d709,C276218D-F973-4E04-5E30-08DC894CFFB3,2,12/18/2024 00:00:00,4,12,False,36,True,1
d1123909-9ea0-46ac-b6bc-cd79543a0267,C276218D-F973-4E04-5E30-08DC894CFFB3,2,12/18/2024 00:00:00,4,12,False,24,True,0
f538e494-84f3-4ea8-ae3b-f0f142294fbe,C276218D-F973-4E04-5E30-08DC894CFFB3,2,12/18/2024 00:00:00,4,12,False,36,True,0
2320cb1b-d64f-4486-aabe-9754c12a1d06,C276218D-F973-4E04-5E30-08DC894CFFB3,2,12/18/2024 00:00:00,4,12,False,36,True,0
4d71f5cd-5e03-4e0e-b17d-593586b88b99,C276218D-F973-4E04-5E30-08DC894CFFB3,18,12/18/2024 00:00:00,4,12,False,36,True,1
413e6437-7712-4672-8d5f-80a6c94ef119,C276218D-F973-4E04-5E30-08DC894CFFB3,18,12/18/2024 00:00:00,4,12,False,24,True,0
f17d430a-5b83-47c8-ac20-77c5fe7864f7,C276218D-F973-4E04-5E30-08DC894CFFB3,18,12/18/2024 00:00:00,4,12,False,24,True,0
66d45786-61fa-43a9-af9f-7a5341abfc6e,C276218D-F973-4E04-5E30-08DC894CFFB3,18,12/18/2024 00:00:00,4,12,False,30,True,0
477951d3-95b8-4933-ad3b-ae6f86eafc55,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,12/18/2024 00:00:00,4,12,False,36,True,1
f03ea971-0ec2-4be7-aae9-364f3922b741,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,12/18/2024 00:00:00,4,12,False,30,True,0
157e4c9d-980e-4897-ad5f-f4c5c301f195,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,12/18/2024 00:00:00,4,12,False,36,True,0
c280d18d-86b9-4bba-85e6-2c00472efd9d,E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,12/18/2024 00:00:00,4,12,False,36,True,0
477951d3-95b8-4933-ad3b-ae6f86eafc55,3C73974A-4F0C-4E6A-9606-08DD17656FFB,3,12/18/2024 00:00:00,4,12,False,36,True,1
4afd5d07-d782-4b98-92cb-eea7ca0104bf,3C73974A-4F0C-4E6A-9606-08DD17656FFB,3,12/18/2024 00:00:00,4,12,False,30,True,0
6bfc9899-f572-4482-8294-f75649fd81b8,3C73974A-4F0C-4E6A-9606-08DD17656FFB,3,12/18/2024 00:00:00,4,12,False,40,True,0
1916bf76-0235-4795-91ba-407148f8a703,3C73974A-4F0C-4E6A-9606-08DD17656FFB,3,12/18/2024 00:00:00,4,12,False,36,True,0
