PositionId,ShiftType,DayOfWeek,Month,IsWeekend,Label
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,1,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,2,3,12,False,1
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,3,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,4,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,5,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,6,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,7,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,8,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,9,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,10,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,11,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,12,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,13,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,14,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,15,3,12,False,1
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,16,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,17,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,18,3,12,False,1
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,19,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,20,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,21,3,12,False,0
E4477C07-2AEB-4C87-6BDF-08DC89FDB08E,22,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,1,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,2,3,12,False,1
3669E755-6F3C-4486-9604-08DD17656FFB,3,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,4,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,5,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,6,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,7,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,8,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,9,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,10,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,11,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,12,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,13,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,14,3,12,False,1
3669E755-6F3C-4486-9604-08DD17656FFB,15,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,16,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,17,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,18,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,19,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,20,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,21,3,12,False,0
3669E755-6F3C-4486-9604-08DD17656FFB,22,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,1,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,2,3,12,False,1
C276218D-F973-4E04-5E30-08DC894CFFB3,3,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,4,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,5,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,6,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,7,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,8,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,9,3,12,False,1
C276218D-F973-4E04-5E30-08DC894CFFB3,10,3,12,False,0
C276218D-F973-4E04-5E30-08DC894CFFB3,11,3,12,False,0
